seed: 4, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 20, batch_size: 4096, learning_rate: 0.01, local_epochs: 2, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.1, cache_partition: False, gpu_idx: [1], num_workers: 16, record_time: False, num_adv: 4, attack: IPM, defense: Mean, attack_params: {'attack_model': 'all2one', 'scaling_factor': 100, 'trigger_factor': [8, 2, 0], 'poisoning_ratio': 0.32, 'source_label': 2, 'target_label': 7, 'attack_strategy': 'continuous'}, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_lenet/non-iid/MNIST_lenet_non-iid_alpha0.1_IPM_Mean_300_20_0.01_FedAvg.txt

Started on Wed Jan 28 17:32:47 2026
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.1
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 143		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 144		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 145		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 146		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 147		Train Acc: 0.0714	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 148		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 149		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 150		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 151		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 152		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 153		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 154		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 155		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 156		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 157		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 158		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 159		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 160		Train Acc: 0.0716	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 161		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 162		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 163		Train Acc: 0.0714	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 164		Train Acc: 0.0703	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 165		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 166		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 167		Train Acc: 0.0716	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 168		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 169		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 170		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 171		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 172		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 173		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 174		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 175		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 176		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 177		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 178		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 179		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 180		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 181		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 182		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 183		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 184		Train Acc: 0.0712	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 185		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 186		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 187		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 188		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 189		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 190		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 191		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 192		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 193		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 194		Train Acc: 0.0747	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 195		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 196		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 197		Train Acc: 0.0715	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 198		Train Acc: 0.0715	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 199		Train Acc: 0.0738	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 200		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 201		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 202		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 203		Train Acc: 0.0717	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 204		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 205		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 206		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 207		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 208		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 209		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 210		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 211		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 212		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 213		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 214		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 215		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 216		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 217		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 218		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 219		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 220		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 221		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 222		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 223		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 224		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 225		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 226		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 227		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 228		Train Acc: 0.0741	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 229		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 230		Train Acc: 0.0738	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 231		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 232		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 233		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 234		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 235		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 236		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 237		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 238		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 239		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 240		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 241		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 242		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 243		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 244		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 245		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 246		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 247		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 248		Train Acc: 0.0739	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 249		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
